id,bkE,bU,bE,bEv,bPN,bPR,bkC,bC0_1,bC0_4,bN,bOC,ptr0,ptr1,ptr4,alpha,ll,model
55,-212.988785903952,91.3533217138343,183.742259117905,-78.4002756316859,-0.325088227011858,1.30188760589473,-6.45453598235032,-171.679512413309,-391.855068729514,0.629025658487795,246.974455547163,0.0170520899472845,0.220227275977231,0.155203096298898,0.141883753118266,-435.988317833928,ts2_decay
56,-1.46839487624067,-0.0138265974521467,0.41435304826542,0.847203777252237,-0.593386134545176,-0.381229145223899,-80.8951068169778,54.9399011737766,74.8566798458582,16.2347129022082,-31.1365401518918,0.0432039374538185,0.581777108532843,0.999994729972731,0.760641222494129,-441.322282749773,ts2_decay
58,-167.857705171636,98.1228276540247,139.550091983134,-80.2625483211293,-0.47483685547411,0.0772405048569154,-401.013407827078,86.38959337172,46.4378249313947,100.364510951992,43.8864748382088,0.0703393887801275,0.308035801982857,0.269890233793916,0.1818363420317,-491.948857780262,ts2_decay
60,-2600.84668578168,1675.5505835806,2489.44119094683,-1602.33719799187,-0.323993416761654,-0.0787350695656511,-450.796491704796,-159.235205114696,-1446.92457416398,68.7004665387063,1350.9400250545,0.0299772598370504,0.0837652394749877,0.075031685681663,0.0432954738395152,-478.360847346307,ts2_decay
61,-24.1945051877587,-52.361393551226,14.0799010246236,26.8325170286112,-0.917327005756703,-1.64207966309922,-176.035249127111,74.7558116367941,-148.892140300125,0.410691590785634,201.795493011132,0.50017352973729,0.0933396231798301,0.151409943934654,0.543023998773877,-435.834072880643,ts2_decay
62,-5.54357601607357,1.10772772115366,1.27699670713116,0.0382708411702306,-0.155655189270005,-0.362425992221068,-194.739029950766,50.1149794722817,-28.0309017963615,27.7658370702926,115.128196111475,0.030870995337694,0.0648291729950817,0.217625426860557,0.91238519198263,-597.514802906563,ts2_decay
63,-5.11061534472969,0.550557618179797,0.657227585183721,0.335049021039078,-0.17594808981776,0.255862747885243,-183.246703948934,118.871749571409,-31.6826299036336,10.2081384262534,152.953396139322,0.042783550619513,0.119595528711102,0.248596836661439,0.933483687867111,-583.273222915847,ts2_decay
64,-30.6165872494084,3.3793589316122,20.9708250818841,-1.83678396721836,-1.03178992430272,1.00061802521976,-20.4062054805226,7.27850621071839,10.7905038054227,4.05345430896348,-3.35883138175748,0.104820594310117,0.38000219590584,0.4059392323271,0.426740469550186,-493.04524266163,ts2_decay
65,-6.33228425523868,0.594948307543326,1.41691058829245,0.233861046448122,-0.189474094527371,-0.343427303135115,-21.0860339006721,5.31248824754701,10.6539153878354,3.9708025646566,-4.32341241566683,0.0985355700460781,0.210746591079646,0.436014281832517,0.952956075158057,-564.450050258005,ts2_decay
67,-43.9076020590799,-0.368990254927327,12.0447966278843,1.04406951028258,-0.677221973085194,25.9056219718293,-175.151342740057,87.4031446154746,76.1665944591667,22.0544379778546,67.809632467926,0.0600034369734123,0.112436828913577,0.238212451044929,0.41681227721426,-624.84918464062,ts2_decay
68,-6.66918335601118,0.138603559981347,2.13358928450885,0.378967568608054,-0.15672518386679,0.395213667792101,-7.56147100467651,-93.8263021032623,-313.321294873385,0.368511896098603,199.662263981641,0.708682113311027,0.158638646898153,0.113725764193159,0.816858326130195,-570.601160943669,ts2_decay
69,-108.875632353842,51.6307663254977,90.0038515188233,-41.2447680813208,-0.472395779437595,0.119049043295689,-8.51948954527937,-153.084923449182,-514.929583940097,1.12295393080247,433.002730680533,0.0669505689278101,0.101824337730921,0.20244776037607,0.188142931329352,-554.71540718854,ts2_decay
70,-95.9173010834695,55.6070433808587,78.578173959756,-44.8394427394988,-0.33653556192628,0.105968783435935,-233.59387275674,161.482022860186,227.402922026857,35.6091059391968,-80.6081247579466,0.0124713493567719,0.0934074972653936,0.0958506024650787,0.203964379949506,-413.574924527959,ts2_decay
71,-6.33235044101311,0.655260544212131,1.29652578746708,0.159320692434547,-0.122050133224706,0.156023675669475,-213.380528611586,1.63359773535735,-71.9348028793217,38.4753785265762,142.715636249923,0.0257717576346277,0.124496230822272,0.262110012483435,0.903183675941401,-588.446646623042,ts2_decay
72,-5.83031979897556,0.700094400263061,1.18259275107963,0.200456171910763,-0.126541884550362,0.525011060719298,-6.5513680838725,0.475900063112077,-1.36242582423404,1.45570110901497,2.00469557958466,0.0400037604552777,0.615285094321936,0.212596746159324,0.99999972432169,-548.558869279266,ts2_decay
73,-643.999468848451,-395.752201412036,593.985013687249,368.224868525527,-0.131042163834058,-0.0260868206630145,-1239.65007867865,-409.664811745433,-1695.41653831242,301.424245276838,1147.74508689764,0.0259682849649551,0.0548848471259088,0.190816412322965,0.074970972086694,-542.42852399194,ts2_decay
74,-4.36469033064679,0.949491297341518,1.03118858240023,0.03061472329266,-0.235529403727435,-0.7605213217588,-234.664689283006,26.1495337210079,92.9675380268436,27.5930260630849,19.8831081324036,0.0458925579013898,0.191034834847033,0.210663406147543,0.999999396997149,-601.197684851208,ts2_decay
75,-1077.27344878521,559.882088566164,936.821867662261,-485.857727039948,-0.130402812066366,0.0642225533625624,-727.312349919103,172.975562218387,-87.7324284132517,121.240391569554,374.442069482813,0.0550046731726293,0.115100202049174,0.199573176790986,0.129780143688749,-572.228141206449,ts2_decay
76,-7.33552239593463,-1.97686310641473,2.70002438986859,0.911405814767134,-0.15160846079654,-0.287987085479978,-124.76170488123,-18.4803015307668,-21.2985193690178,32.3363095660991,38.990479141039,0.165639816906143,0.186660747407226,0.227327569691283,0.939208315063552,-444.366157315001,ts2_decay
77,-7.02834276874967,2.63339383514024,1.29359583853708,-0.135523250977136,-0.120267507142777,-0.573091500993123,-171.245516016227,-71.9316557107458,166.027541072841,34.1444745002629,-83.6070711916771,3.26443103973939e-8,0.0348672763459379,0.353473346776442,0.935788537698608,-544.008009472754,ts2_decay
78,-333.229421031353,205.057908970403,282.881486557349,-173.178360808048,-0.130842365194358,-0.212119426033251,-229.879891855683,54.826200798628,-57.1930753787709,46.2023210814301,124.344948973055,0.0181593998349619,0.102207610964149,0.239763669883442,0.150611532203586,-512.525562782335,ts2_decay
79,-1256.25271701697,301.119034432941,1147.46404585442,-274.117982070182,-0.221495437318302,-0.949360678412032,-641.568894781638,3.23078253601812,-34.0694132379927,137.429021991997,218.467334077835,0.0359884507239925,0.14178007348604801,0.232015172722944,0.0882481966750755,-495.696955259134,ts2_decay
80,-1325.9632263505,464.807632974328,1198.16982980976,-418.432027452308,-0.324356072125312,-0.113316451899208,-7.9905353283849,-621.994273815665,-1892.1748784608,0.318539578337259,1571.53344819197,0.999624812382955,0.0762970564172699,0.11573292896681,0.0968305228536132,-572.156955474375,ts2_decay
81,-74.7320379500357,17.5559583283727,59.1731943790987,-12.1770927731846,-0.663339055155567,-1.0348793083531,-21.8594157897534,-16.6397768104622,-180.014300562906,2.92641684117363,160.944180555472,0.0445799159956961,0.110202246919332,0.21773324927992,0.244143166404088,-527.249935665663,ts2_decay
82,-22.8707195198439,4.68907114810128,10.7455721175548,-1.71377438111687,-0.0646799802227167,0.25207283319937,-1413.7574289635,-135.431585323161,-0.083775085546373,243.30554959191,569.223997164552,0.015914970410894302,0.0526351124230442,0.114084919645679,0.57051939562733,-483.071835184519,ts2_decay
83,-1407.39153758786,963.32206198651,1285.78914038418,-879.244306364291,-0.132384547085877,-0.517267068581188,-345.312890692299,-996.892913552722,-2379.24756134355,55.6576806197711,2130.30409050087,0.0184836928806979,0.0869295287669893,0.225852568378782,0.0859656213948412,-551.032151699898,ts2_decay
86,-6.43891602771104,2.14860364166841,1.54000564981932,-0.429074332438078,-0.15939807725837,-0.40689192471775,-490.890245068987,342.918558003777,293.559873656499,30.0334876475792,23.8385901461007,0.00493638604482866,0.0427407457464232,0.0984614696386869,0.940376547314692,-576.402967509171,ts2_decay
87,-26.5045692444926,7.73510131674978,13.7383837441829,-3.4218387556055,-0.121580021348979,0.338974358936186,-1351.15344180739,265.075032731827,1088.41472378468,337.461585538458,-657.736150926291,0.0745221460802348,0.121805387450744,0.0885975687090628,0.516773431109879,-563.503590502447,ts2_decay
88,-28.587476625876,11.9648187019188,18.1557816338347,-6.09501493843527,-1.29987665599013,-0.00461851796427411,-183.763114591672,50.1281837514931,-19.3736573324007,36.4298043656162,77.7603002130385,0.151260027932583,0.192986855693037,0.54965656540226,0.514740586320834,-537.770671012016,ts2_decay
89,-6.46704413239886,2.93687839633054,1.93851464404723,-0.668149837880344,-0.119811398087856,-0.320260248570474,-316.009105989189,232.343874153493,-117.560025499203,20.4203574559062,491.630427499337,0.0425672005097378,0.0654948348936104,0.231215818556117,0.891213667520984,-586.587806102396,ts2_decay
90,-5.96739521624794,0.620109047996356,0.812044865669311,0.301961056671997,-0.0515063198547089,0.0499567569026211,-15.3381841533542,9.02127888975949,4.10681421734953,0.806745307156172,1.66203484680236,0.767869560468328,0.125525790776995,0.248172881930114,0.999056333231253,-622.260852784906,ts2_decay
91,-65.9201760059355,-11.5232372898158,60.8793632561143,10.9172851320559,-0.641127018472549,-0.123070369590198,-5.04214515290014,-1.71195064793667,-0.93119383185609,1.46109007634742,1.08316650395045,0.0981675197153604,0.774023125249807,0.453640622980539,0.109078066352012,-448.010602371532,ts2_decay
92,-11.0940119420173,4.24720534579801,2.08224949682014,-0.588909573878451,-0.0871030122119115,-0.775927509070542,-5.62511022718702,-10.0632857892432,-22.7105203925405,0.813884234028086,14.1341810920558,0.0149899647760636,0.205934501478639,0.350109893213889,0.871034475156789,-562.582655237461,ts2_decay
93,-1133.02550965471,-895.753292029659,1062.18571976789,842.889730565313,-0.425709500251928,-0.865126376866485,-225.226836727403,-277.608544338742,-2285.25697912959,12.8714564192801,2061.97870699001,0.0105285302257265,0.060021457207426,0.10375131676795,0.062755836852417,-370.762385910445,ts2_decay
94,-1407.02911831292,496.036151687893,1152.5002822057,-405.796979021117,-0.259255592079131,-0.543306287956954,-7.47746644810663,-511.314086099399,-2049.65742185093,0.926261538940023,1282.16654166603,0.035217063594465,0.215407078446313,0.354462667797108,0.182432908322495,-515.431535984613,ts2_decay
95,-4.80072309568489,1.00092288313736,1.50443631575554,-0.121288994130372,-0.0816805813314928,-1.17689782804291,-33.919766778429,-20.1285943946759,-69.1836573598296,2.30085648852362,250.736856426699,0.0962551690678427,0.35257794392601,0.57968669573194,0.913423113612264,-496.13235945315,ts2_decay
96,-546.517139743153,-8.71288179532599,60.1875401518738,5.34919492983293,-5.66129642058299,475.09998253852,-5.02411174627657,-5.23149189194244,-10.0431725008713,0.401770326366237,14.0239117384551,0.161616570738789,0.485898273918372,0.750246255952843,0.423057859257165,-480.464480125885,ts2_decay
99,-403.474711234628,92.5577703107419,374.486154612958,-84.2591455940843,-0.155905977713682,-0.958795169195665,-147.962152093777,52.4768607815233,82.6753897295507,19.8222921860522,115.133732305386,0.0126059550552869,0.0414469101831865,0.0647863330041307,0.0699986445362867,-534.107542301266,ts2_decay
100,-4.33998516472332,1.03211090150254,2.18729803754565,-0.116146253945903,-0.587856525190383,-1.32554886148933,-644.982596912875,448.103462988554,627.954151584166,64.8024176332908,-154.475754203277,0.0103391106124921,0.128795106177681,0.297379283478477,0.888418897450658,-472.756373342309,ts2_decay
101,-3001.01489558336,1976.73510578396,2890.73819125718,-1901.97656691526,-0.494410228162578,-0.0839096505413234,-9.55220186973028,2.38558071933619,2.03692497357475,1.73599714807912,0.557469178552704,5.30191578592198e-9,0.999996635305914,0.785888380947126,0.0378040812764498,-186.760187348722,ts2_decay
102,-57.6198899227831,3.77059191297353,37.683825362875,-1.69833611977997,-0.130675356065693,-0.0232024995299667,-461.906729296771,-33.7846589332001,-141.300495407195,115.053271205256,90.1437190794285,0.0685851606411073,0.149436177608669,0.266340236771426,0.352541119386084,-573.772683879509,ts2_decay
103,-7.51889730440306,-0.0595078081475709,0.655919345143046,1.20956225467276,0.00659424056887259,0.148418815309064,-310.074229164727,-220.778751615967,-109.421384509258,58.8257152101377,-34.9856604466536,0.00553839548664714,0.0296805871067486,0.0780087213870279,0.93138104868246,-461.153331879785,ts2_decay
104,-10.1283001074698,3.48796939795578,2.57476401454272,-0.563259069539565,-0.308076131800949,1.28080602147391,-147.680239487651,91.7642974525814,130.600981963956,16.6916157629509,-32.7613802447249,0.0571362319942424,0.17141128428754,0.258942806230766,0.87271395359902,-591.167277045737,ts2_decay
105,-5.14056709718529,0.739387267469614,0.907968202812637,0.091592315488252,-0.0944671435334887,-0.255723034768547,-330.396511703798,-781.990636455173,-3509.95267254219,34.9670065223389,2188.20242801483,0.0251547026395157,0.136736750158074,0.110291935094197,0.994782178873779,-614.670979105214,ts2_decay
106,-227.22299704533,134.308164565765,154.668754136142,-90.7807505607881,-0.113229722599702,-0.0280679106254779,-265.659362602806,14.6644967302257,-96.5084278835429,55.7112943437988,70.8986139864598,0.0374140267185405,0.0980842914758305,0.147988787757095,0.322615625130467,-565.533420386313,ts2_decay
107,-4.67558266409547,0.744024196523014,1.3255057112243,9.96025185659715e-4,-0.113804748328419,-0.892314226519477,-393.250665161924,-438.745077776909,90.3536824421232,25.1971823810967,189.206879725707,0.0356710053374461,0.197609569659867,0.157350111203516,0.896115667873976,-572.405842161438,ts2_decay
108,-5.12053999357307,2.28576456103627,1.35158439024063,-0.156516962921578,-0.195662059315533,-1.11824023159347,-131.296152149955,107.681708104425,127.388970694588,7.85615323733514,-18.4226939716254,0.0265140387110463,0.162111775731725,0.999933210589148,0.934351028206838,-550.801370286423,ts2_decay
109,-7.0053144959223,2.89512724316729,0.913743186785518,-0.254898444475313,-0.140943031795945,-0.0204739525387404,-505.057906576225,315.032628176449,388.068850236044,26.5125641487549,6.5910180490139,0.502907915270878,0.0722608887239164,0.282055426489897,0.956553651800927,-604.01072427005,ts2_decay
110,-1529.53999663213,1016.66683877608,1317.65041085364,-875.342960929546,-0.127701304571771,0.461440940161679,-9.45683087313222,3.43118224900131,3.29775545235736,1.34808987171245,-1.15578036267158,0.19246528388752,0.143804434086537,0.481884784754595,0.138133501864941,-592.588136656126,ts2_decay
111,-9.39786032212794,-1.81104998882112,4.5744406299125,0.930792030691471,-0.113517698745485,-0.0187555937320533,-7963.70462506328,1625.85178598717,-167.678067158394,1564.96971230657,2568.4444367557,0.0136937758011656,0.0820015439305765,0.0733083814463451,0.782440290451289,-365.155192249658,ts2_decay
112,-21.7457317516445,8.04081358977917,12.2092485444264,-3.95387291083372,-0.20133999127409,-0.0412755841120398,-220.619402891904,12.8331665753635,46.9666711117806,44.1555763842316,138.982276162953,0.0308168273246101,0.132511478108633,0.192608762663391,0.461447190884672,-565.765099288648,ts2_decay
113,-9.70632124358225,4.51988083875061,2.0108419761002,-0.633272078825727,-0.0836561178361532,-0.038337916639114,-301.802371023495,121.20643285017,297.314314002992,13.1580587469095,-31.8412915519584,0.49497094105629,0.162502539915124,0.219109766329487,0.831704040250988,-533.347550373268,ts2_decay
114,-4.98553263121395,3.17157560651736,2.77223477295361,-0.619271180676037,-1.00887437892164,-0.703244490764387,-7.18964326192817,-1.85469618999832,-8.39814726550688,0.529585765816447,12.9900550677862,0.148163820715776,0.158202181327212,0.227084574180687,0.909249138277609,-600.109144291437,ts2_decay
